pipeline,window_s,outer_fold,study_name,number,value,state,params_band,params_dropout,params_hid,params_out,params_s_idx,user_attrs_outer_fold,user_attrs_window_s,params_C,params_max_pca,params_model
graph,4,4,eeg_graph_win4_fold4_20251014-070526,5,-0.6084309390848185,COMPLETE,theta,0.3272214925161949,16.0,12.0,0.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,6,-0.551086844504809,COMPLETE,gamma,0.37075664739260933,16.0,12.0,1.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,7,-0.49944592847756586,COMPLETE,alpha,0.3339342241915651,12.0,12.0,2.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,8,-0.6695861946573819,COMPLETE,theta,0.3742909703912519,8.0,12.0,2.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,9,-0.5464992337225284,COMPLETE,gamma,0.3078646464236612,16.0,8.0,0.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,10,-0.5779479624910978,COMPLETE,delta,0.3279618509634565,12.0,8.0,3.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,11,-0.7661722031010307,COMPLETE,beta,0.28131767324633405,12.0,8.0,3.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,12,-0.7662611124679072,COMPLETE,beta,0.2820930272759164,12.0,8.0,3.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,13,-0.7662482237527222,COMPLETE,beta,0.2950570003656817,12.0,8.0,3.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,14,-0.8329608340591403,COMPLETE,delta,0.3160198112405872,12.0,8.0,1.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,15,-0.8338477744505645,COMPLETE,delta,0.3175578239007263,12.0,8.0,1.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,16,-0.8259510792555472,COMPLETE,delta,0.34882295119501994,12.0,8.0,1.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,17,-0.7876208782697747,COMPLETE,delta,0.31732583432256833,8.0,8.0,1.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,18,-0.8296898755687829,COMPLETE,delta,0.34164909015047906,12.0,8.0,1.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,19,-0.8287816961773693,COMPLETE,delta,0.3614590128680143,12.0,8.0,1.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,20,-0.7876135685113113,COMPLETE,delta,0.3178448392920091,8.0,8.0,1.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,21,-0.8332408183878708,COMPLETE,delta,0.3376949173889678,12.0,8.0,1.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,22,-0.8336690283426021,COMPLETE,delta,0.32362061710370355,12.0,8.0,1.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,23,-0.8321272635729887,COMPLETE,delta,0.3320282695525492,12.0,8.0,1.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,24,-0.8331923687754678,COMPLETE,delta,0.33762037139318635,12.0,8.0,1.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,25,-0.8340641954986984,COMPLETE,delta,0.3228095637459724,12.0,8.0,1.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,26,-0.8339671231165741,COMPLETE,delta,0.3233840141246552,12.0,8.0,1.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,27,-0.8357032171030166,COMPLETE,delta,0.3008566842788183,12.0,8.0,1.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,28,-0.7894250536655268,COMPLETE,delta,0.29790025081188926,8.0,8.0,1.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,29,-0.7013948725007607,COMPLETE,theta,0.2913151514446512,12.0,8.0,1.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,30,-0.7724240535309902,COMPLETE,beta,0.3032788272310192,16.0,8.0,2.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,31,-0.8340788265634016,COMPLETE,delta,0.3217302327541412,12.0,8.0,1.0,4.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,0,-0.7545466277668343,COMPLETE,theta,0.29818249672071007,16.0,8.0,2.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,1,-0.5759568295968585,COMPLETE,alpha,0.2846450412719998,12.0,12.0,0.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,2,-0.6615320961682208,COMPLETE,gamma,0.3058779981600017,16.0,12.0,0.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,3,-0.8036309865884176,COMPLETE,delta,0.31253303307632646,12.0,8.0,0.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,4,-0.5930238976928054,COMPLETE,alpha,0.3506857343847617,8.0,12.0,2.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,5,-0.6299004479478243,COMPLETE,theta,0.3272214925161949,16.0,12.0,0.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,6,-0.5043874340586144,COMPLETE,gamma,0.37075664739260933,16.0,12.0,1.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,7,-0.5155948639788198,COMPLETE,alpha,0.3339342241915651,12.0,12.0,2.0,5.0,4.0,,,
graph,4,5,eeg_graph_win4_fold5_20251014-071259,8,-0.6042616657742329,COMPLETE,theta,0.3742909703912519,8.0,12.0,2.0,5.0,4.0,,,
